Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.reference.u_dq.v2
0,0.000000,0.0517887101,0.00104266987,3.94850636,0.147707015,-0.136806548
1,0.009096,-0.245837882,-0.0848096162,3.68121099,-0.687253058,0.934565902
2,0.014079,0.0548497699,-0.000759983202,3.63717413,0.159457475,0.161557555
3,0.019095,0.0651805326,-0.0368012264,3.93241072,0.0910703689,-0.213927031
4,0.024081,0.0881675482,-0.164127365,4.02853537,-0.246195719,-0.734966099
5,0.029083,0.0234478954,-0.105863012,3.84144831,-0.265565157,-1.3578161
6,0.034096,-0.0112812696,-0.326909363,3.00132322,-0.370223224,-1.91547155
7,0.039084,-0.385604531,-0.650847614,2.04470491,1.18877518,-2.54103994
8,0.044093,-0.79312849,-0.113800749,0.29789114,2.79947329,-0.851261377
9,0.049080,-0.940275371,-0.246178418,5.98784733,3.23021936,3.71410942
10,0.054093,-1.25467169,-0.871476471,0.279137611,5.67642784,1.05427694
11,0.059094,0.950120389,-0.312403262,1.38904619,-0.841444135,4.42859268
12,0.064093,-0.444251388,1.10268879,2.38996553,-5.77350235,0
13,0.069082,-1.55646753,-0.317048639,5.96166468,5.10448647,2.69769335
14,0.074095,0.293613672,0.158171251,2.05393219,-0.215426013,-0.608160019
15,0.079082,0.0840846002,0.206428915,1.94364071,-0.674399197,0.899079561
16,0.084081,-0.039543692,0.16087997,1.97440624,-0.554921508,0.318889141
17,0.089095,0.0241352562,-0.00839376356,2.41298389,0.0722658709,0.185556412
18,0.094081,0.0308661927,-0.0863910168,2.83762264,0.242681861,0.25103879
19,0.099095,0.0500136428,-0.0295697004,3.21650887,0.186647952,-0.00755631924
20,0.104083,0.062263675,-0.089594245,3.45567989,0.13352184,-0.376168132
21,0.109097,0.0450129472,-0.11069873,3.45055485,0.0237951428,-0.897086024
22,0.114096,0.0324304588,-0.129077315,3.09865189,0.0623655915,-0.99233675
23,0.119105,0.0294304807,-0.173667714,2.40790176,0.257035673,-1.17839146
24,0.124083,-0.166064903,-0.427866966,1.50341892,1.52487135,-1.31841373
25,0.129080,-0.124657489,-0.569352567,0.874483109,2.5067935,2.23709202
26,0.134096,0.212497056,-1.45046568,1.25207615,4.16029263,4.03942537
27,0.139084,-0.23884441,1.21810126,2.96754074,-5.77350235,0
28,0.144095,-1.54726064,0.0714940354,6.02132702,3.06477356,2.68449783
29,0.149083,0.851812065,-0.514227688,1.48637342,0.0901581645,0.24809432
30,0.154094,0.550912023,0.663553536,1.53320456,-3.26959181,2.85041833
31,0.159084,-0.125971198,1.18534875,2.63406134,-5.77350235,0
32,0.164080,-1.58496284,0.155137554,5.98809767,2.42022991,4.21374989
33,0.169093,0.943376005,-0.278021246,1.65942192,-0.121000722,0.363919497
34,0.174082,0.281429708,0.32962966,1.56348228,-1.44292557,1.29963374
35,0.179095,-0.267301291,0.198272645,1.79929543,-0.548306525,-0.434948444
36,0.184083,0.0713765323,-0.225780219,2.14689255,0.789838433,-0.44655332
37,0.189095,0.116418891,-0.0900552198,2.12413597,0.44422397,0.231272459
38,0.194082,0.121305421,0.134929657,2.01531029,-0.327312261,0.620314181
39,0.199094,-0.0361031741,0.127687141,2.18994713,-0.487593353,0.757927656
40,0.204081,0.0508638136,0.241916209,2.83686638,-0.499416351,1.27464867
41,0.209097,-0.129725575,0.504565775,3.84775352,0.00334727764,2.27939296
42,0.214096,-0.80844444,0.376997709,5.51398468,2.07223177,2.8793292
43,0.219095,-0.925574839,-1.12233555,0.733097553,4.61720133,3.46623492
44,0.224096,1.25315583,0.0647391602,1.50614214,-3.52717829,4.57081461
45,0.229080,-1.05036199,1.07779849,3.93047762,-5.11197281,2.90144205
46,0.234097,-1.14095473,-0.972070873,1.30163479,5.77350235,0
47,0.239079,-0.0730831623,0.0412449986,1.98144054,-0.187385142,0.481575847
48,0.244094,0.0131824184,0.110180654,1.87303448,-0.371793151,0.544159114
49,0.249083,0.0173781272,0.0418158099,1.93415737,-0.0972645804,-0.049687624
50,0.254081,0.0539905168,0.00630707946,2.11086941,0.0525205061,0.305015683
51,0.259095,0.0671520531,0.0663846731,2.36165142,-0.0532300286,0.428439736
52,0.264081,0.030102551,0.0059476709,2.72132397,0.0606774762,0.597382545
53,0.269096,0.0364024267,0.0791581646,3.20928097,0.0701574236,0.52227211
54,0.274097,0.0430801734,0.0396755636,3.70793438,0.176862955,-0.178492546
55,0.279096,0.105948634,-0.0686440542,4.14628506,-0.0193766579,-0.424295545
56,0.284084,0.0641615689,-0.173939943,4.33475399,-0.505151987,-0.904409051
57,0.289095,0.0200241096,-0.197240293,4.0901289,-0.575691819,-0.62347436
58,0.294081,0.0324397311,-0.268660218,3.41865826,-0.557255149,-1.63823271
59,0.299080,-0.248610839,-0.604185402,2.27227688,0.0494635105,-3.4121778
60,0.304095,-0.773790896,-0.255273193,0.677512169,2.46665955,-2.24592066
61,0.309082,-0.807390034,0.212363958,5.91309404,3.08878827,1.16487288
62,0.314097,-1.34514046,-0.477490187,6.16093493,4.03247404,4.13188648
63,0.319084,-0.681270897,-1.31255651,0.967104912,4.97647476,2.92711997
64,0.324290,0.793028176,0.894272387,1.71362209,-5.19752789,2.51376939
65,0.329094,-1.39809096,1.01570117,4.3577795,-3.7965343,4.34967327
66,0.334082,-0.591816425,-1.10090697,1.55708671,5.39545155,2.05485654
67,0.339095,0.0623308644,0.242894262,2.14647937,-0.832073331,1.42966104
68,0.344081,-0.0517846569,0.117554389,2.52484083,-0.53800118,1.17284274
69,0.349093,-0.0909301266,0.512230217,3.47427344,-0.8871696,3.15733552
70,0.354081,-0.915148139,0.491077662,5.1900053,1.58202767,3.09159136
71,0.359093,-1.05727446,-1.0054363,0.68508482,4.87822628,3.08808017
72,0.364080,1.27350295,-0.206918567,1.3901124,-2.78109813,5.05952835
73,0.369199,-0.922685921,1.10632324,3.63241911,-2.24319553,5.31990671
74,0.374096,-1.34435821,-0.734833241,1.15972805,5.77350235,0
75,0.379094,-0.206914082,-0.0699477047,2.07308102,0.0356293842,-0.0785186291
76,0.384096,0.101893395,0.0926576033,1.7999258,-0.296520501,0.6001724
77,0.389084,-0.0199349001,0.206128567,1.70606709,-0.73037076,0.286682248
78,0.394097,0.0108980061,-0.0949273854,1.85596657,0.380519241,-0.31539017
79,0.399079,0.128106132,-0.0522244573,1.91863728,0.263613075,0.478108406
80,0.404096,0.0441853702,0.187967315,2.03493309,-0.61901933,0.976293921
81,0.409079,-0.0186125897,0.0976425335,2.51041126,-0.285532415,0.762408495
82,0.414081,-0.047867287,0.387685597,3.39507771,-0.546551883,2.41919017
83,0.419097,-0.656119406,0.588124096,4.78223133,1.14660907,3.0573647
84,0.424081,-0.849575222,-0.158606738,0.238641262,3.61336613,1.85638881
85,0.429097,0.605863214,-1.18017983,1.11441946,2.21861172,5.33020592
86,0.434081,-0.385557145,1.07287729,2.52409315,-5.53557777,1.64033842
87,0.439082,-1.58341765,0.0518637449,6.21152258,3.21561575,4.44935608
88,0.444096,0.700281739,0.244172424,1.87686539,-0.646488249,-0.564080477
89,0.449084,0.0691844523,0.171129838,1.78259659,-0.586823761,0.470945477
90,0.454095,-0.00467323419,0.0684690401,1.76224327,-0.216950029,-0.177693367
91,0.459084,0.0642183125,-0.0555091575,1.82678986,0.236447826,0.0273067392
92,0.464093,0.104325108,0.0686151087,1.89712334,-0.214590013,0.904380262
93,0.469081,-0.00702086464,0.121967718,2.20186806,-0.46819216,1.91933239
94,0.474094,0.0348331966,0.20851317,2.8621521,-0.373181462,0.689516068
95,0.479181,-0.117313683,0.464997768,3.8660984,-0.194692969,2.80986905
96,0.484190,-0.846363664,0.264276862,5.47705078,2.2247448,2.75824332
97,0.489095,-0.898539603,-1.17533565,0.647770405,4.73327637,3.30596828
98,0.494081,1.1769383,-0.740121305,1.44048738,-0.485063672,5.7530899
99,0.499095,-0.84468013,1.10666478,3.49939775,-4.96177197,2.95197415
100,0.504083,-1.43725002,-0.448282838,0.935603142,5.77350235,0
101,0.509095,-0.168731749,-0.000973952003,1.8878355,-0.0825912952,-0.0394575596
102,0.514083,0.0804375708,0.221126646,1.68690395,-0.826541901,0.858519793
103,0.519095,-0.155706018,0.0249077287,1.67848873,0.00862812996,-0.596217871
104,0.524083,0.105162501,-0.252394557,1.72618771,0.894008398,0.177192748
105,0.529080,0.416932702,0.416125864,1.62983608,-2.04242849,2.59822893
106,0.534093,-0.0908842385,1.15351915,2.51370907,-5.68753195,0.992629528
107,0.539094,-1.44637084,0.503663003,5.23247433,0.317077398,4.31864452
108,0.544094,0.229379743,-1.42493021,1.43065691,2.62304139,4.07293606
109,0.549081,0.59508121,0.308896184,1.52187395,-1.78703821,2.6018796
110,0.554083,0.156037688,1.15583742,2.17921543,-5.77350235,0
111,0.559096,-1.41422081,0.708539248,4.90559626,-1.82936859,5.47601509
112,0.564082,-0.504395664,-1.33233726,1.50711966,4.29552555,3.85769248
113,0.569093,0.220918804,0.151252806,1.67016268,-0.636925519,1.36791277
114,0.574081,-0.254280537,0.343541563,1.67322016,-1.215487,-0.704829216
115,0.579095,0.0439032614,-0.387708217,1.92661142,1.24741161,-1.19350183
116,0.584083,0.242516622,-0.113985501,1.73204374,0.42473954,1.29262996
117,0.589097,0.127494484,0.821923614,1.76461267,-3.82796526,2.19415045
118,0.594081,-0.615651727,1.13593447,2.89435911,-5.77350235,0
119,0.599201,-1.23894191,-0.503572106,0.614646912,5.13140297,2.64613581
120,0.604097,0.00793022942,0.170271516,1.7725935,-0.564206123,0.00643348694
121,0.609084,-0.112508737,0.340974331,1.7988348,-1.35308456,0.477599621
122,0.614093,-0.0191723816,-0.0960611179,2.22705173,0.314121604,-0.0859217644
123,0.619080,0.0765778795,-0.0495442785,2.51408577,0.31393531,-0.0774253607
124,0.624093,0.0439136773,-0.0850764737,2.69870472,0.306503415,-0.239568934
125,0.629081,0.0655918196,-0.0325326063,2.66383457,0.256062895,-0.414405793
126,0.634081,0.0579988025,-0.0255418848,2.49433613,0.230276585,0.248150229
127,0.639096,0.0871447399,0.0619407706,2.31503105,-0.0125177205,0.642974675
128,0.644083,0.0290595684,0.109435268,2.35027218,-0.238518208,0.850153267
129,0.649096,0.0258156173,0.125103578,2.79697514,-0.184034795,0.814440727
130,0.654079,0.0295086261,0.168020606,3.34592438,0.0057938695,1.47386217
131,0.659096,-0.259533346,0.445467681,4.48955631,0.769077003,2.22501373
132,0.664083,-0.731041133,0.261944264,5.52305508,2.46427751,0.991044044
133,0.669084,-0.804138482,0.0151258502,0.298738003,3.01568389,-1.28733885
134,0.674098,-1.25372088,0.369223535,0.327104092,3.91654325,-4.24193621
135,0.679079,-0.754043221,1.23841798,5.76954746,4.24165869,-3.91684365
136,0.684095,1.26346576,-0.113759279,5.02006626,-3.45145297,-4.62826157
137,0.689081,-1.05849028,-0.859998167,3.4103651,-4.36773062,-3.77574658
138,0.694093,-1.23721898,0.577842414,5.40230799,4.84799385,-3.13532901
139,0.699143,-0.0136482585,-0.0487885512,4.73520136,-0.193840146,-0.940523505
140,0.704109,0.0284923278,-0.52186048,4.71296644,-2.22767997,-0.657726765
141,0.709093,0.0609179102,-0.567543268,3.96301413,-2.60452724,-3.21812582
142,0.714084,-1.09490001,-0.916332841,2.45312166,-2.17203474,-5.34935474
143,0.719095,-1.20118833,0.811668575,5.62456131,4.55475664,-3.51759529
144,0.724081,0.573620975,0.206004158,5.18858004,-0.584756374,-4.45303059
145,0.729094,-0.236157238,-1.10106122,3.95923281,-5.77350235,-0
146,0.734082,-1.57856691,-0.0773680508,1.08904028,2.92103672,-4.33133793
147,0.739093,0.856187284,-0.142706841,4.59205532,-0.637533188,0.503848076
148,0.744081,0.0782374665,-0.137760356,4.74220562,-0.500384808,-0.607328951
149,0.749098,-0.0384120569,-0.132668197,4.82082272,-0.432284743,0.00886321068
150,0.754097,0.00537835807,0.135446578,4.74774075,0.565486193,-0.0913747549
151,0.759079,0.204617485,-0.0751134306,4.71490383,-0.374299288,-1.04860091
152,0.764095,-0.0383105911,-0.333391994,4.37516689,-1.35949254,-0.718964338
153,0.769084,-0.0131724868,-0.547412097,3.38246822,-2.0541513,-4.20907402
154,0.774096,-0.997714341,-0.567995548,1.30294704,0.994935751,-4.13593864
155,0.779083,-0.85749191,1.15328133,5.65647173,4.1386857,-4.32587671
156,0.784082,0.907631457,0.808355153,5.25639391,0.249253571,-6.89678669
157,0.789093,-0.446255088,-1.13101697,3.64783144,-5.77350235,-0
158,0.794081,-1.49202907,0.274233997,6.09600258,5.07519388,-5.03930998
159,0.799094,0.142707855,-0.0835385323,4.58660698,-0.21544534,0.685311079
160,0.804083,0.126516432,-0.150393337,4.86903954,-0.634926677,-0.729354858
161,0.809080,-0.100305691,-0.463870436,4.92584991,-1.76490772,0.66889739
162,0.814093,-0.180870891,0.553954184,4.74300957,2.18435621,1.13496196
163,0.819080,-0.0212456323,0.56340313,5.15749741,2.18050838,-0.931465864
164,0.824097,0.752497673,0.78693974,5.30119133,0.507034361,-5.75119543
165,0.829081,-0.33825165,-1.10221577,3.77831459,-5.77350235,-0
166,0.834093,-1.5313468,0.220323741,6.24217367,5.00374508,-2.88025475
167,0.839082,0.578661025,-0.205619484,4.51974058,-0.537682593,0.393124342
168,0.844097,0.145574033,-0.113450706,4.62617064,-0.378182262,-0.60175997
169,0.849084,0.00868782401,-0.0894491747,4.67989111,-0.318311453,-0.274238944
170,0.854082,0.0201308914,0.00486261258,4.56354666,0.0486536324,-0.135328412
171,0.859095,-0.0218078084,0.0968738496,4.44752455,0.382389158,0.147989348
172,0.864081,0.0387524515,-0.0610172525,4.16688681,-0.199967444,-0.853465438
173,0.869093,0.0387216844,-0.0781657919,3.64715528,-0.200143039,-0.932279825
174,0.874084,-0.0188748054,-0.224120349,2.91661215,-0.0826562792,-0.993194103
175,0.879094,-0.0804321021,-0.384370089,1.99256468,0.766639054,-1.76250315
