Index,Time,mtr.state.i_dq.v1,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.state.pos_spd_e.v2
0,0.000000,-0.102890044,2.71227694,-0.362591058,3581.35669
1,0.000981,0.00970830116,3.07437181,-0.247846499,3658.47168
2,0.001969,0.0314961225,3.41225481,-0.202538982,3384.58374
3,0.002968,0.0239282288,3.72700548,-0.1508708,3135.57959
4,0.003969,0.0178332068,4.03483629,-0.0832610577,3066.896
5,0.004968,0.00414794497,4.29312944,0.00941280089,2543.72168
6,0.005969,0.00522836996,4.49591112,0.107887395,1968.64722
7,0.006968,0.0079739932,4.64812136,0.207569078,1454.67505
8,0.007965,0.0223054718,4.75274324,0.279367775,975.974304
9,0.008969,0.0551153421,4.81584597,0.291466594,563.157898
10,0.009965,0.0940637663,4.84536409,0.218852952,233.890137
11,0.011141,0.139866754,4.84607744,0.0185102243,-47.1682739
12,0.011981,0.140657425,4.83369112,-0.141770944,-163.812988
13,0.012969,0.126497671,4.81340456,-0.327101499,-231.119461
14,0.013968,0.0684829652,4.7926259,-0.408490628,-224.438873
15,0.014969,0.0144391647,4.7715497,-0.37405166,-220.569916
16,0.015968,-0.0320103206,4.75456285,-0.222180218,-172.805496
17,0.016969,-0.0555948503,4.74432039,-0.00169985706,-99.7124405
18,0.017968,-0.0452667288,4.73813677,0.213642478,-57.5361977
19,0.018969,-0.00540890638,4.74295855,0.367510796,57.8643188
20,0.019968,0.0411198549,4.75440645,0.419733107,124.46698
21,0.020983,0.095201388,4.76558352,0.350631803,117.352051
22,0.021968,0.138649568,4.77660036,0.176711321,113.246582
23,0.023174,0.152507424,4.7789731,-0.0928105861,19.8137169
24,0.024025,0.140038222,4.77612734,-0.27827695,-34.0990295
25,0.024967,0.0936558396,4.77014208,-0.389722198,-65.2219467
26,0.025965,0.0352073573,4.75798464,-0.393824518,-128.69838
27,0.026966,-0.0180685371,4.74638033,-0.276390076,-119.793655
28,0.027965,-0.0487837084,4.73938417,-0.0780627578,-69.1234818
29,0.028967,-0.0502771251,4.73516512,0.141867965,-39.8857155
30,0.029965,-0.0239024907,4.73688936,0.320327103,22.5170574
31,0.030967,0.0185331777,4.7464757,0.411681384,104.056747
32,0.031966,0.0795894638,4.75652742,0.382274002,105.589035
