Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
0,0.000000,0.508345723,0.588530302,5.17620993,-29.3659687
1,0.000984,0.583702624,0.320228755,5.14393568,-31.9335175
2,0.001986,0.647220552,-0.0178841464,5.09058523,-51.182106
3,0.002986,0.623288512,-0.398050815,5.03678656,-53.4927559
4,0.003984,0.373797625,-0.592153609,4.99351263,-44.3006821
5,0.004984,0.078546524,-0.588501036,4.97152662,-24.2568684
6,0.005986,-0.227757514,-0.568331003,4.97105932,-2.91185522
7,0.006982,-0.494880557,-0.421011865,4.99211454,18.5893574
8,0.007985,-0.585582495,-0.143552169,5.03469419,40.1107903
9,0.008985,-0.68703711,0.164636284,5.07773161,42.6942749
10,0.009989,-0.630338311,0.472967774,5.14184332,61.943306
11,0.010986,-0.407032967,0.546644747,5.18533659,45.3136368
12,0.011998,-0.109919615,0.635347843,5.19679403,14.9090137
13,0.012984,0.226677895,0.712967098,5.19703627,1.78971529
14,0.013986,0.484891057,0.648009479,5.17597723,-18.724062
15,0.014982,0.564927101,0.391391098,5.13339949,-40.1254921
16,0.015985,0.637254417,0.0560748391,5.09036207,-42.6960411
17,0.016986,0.645439982,-0.310293317,5.03678274,-52.4740677
18,0.017984,0.437027693,-0.577333033,4.99351263,-44.1783943
19,0.018984,0.146561801,-0.586094916,4.97152662,-24.2421894
20,0.020121,-0.184069276,-0.571181536,4.96052694,-12.3795452
21,0.020985,-0.436710745,-0.453983933,4.97082663,7.98338032
22,0.021985,-0.587078214,-0.186282337,5.00264502,29.3681698
23,0.023130,-0.679931045,0.171793014,5.05598402,50.8726883
24,0.023997,-0.667568147,0.471295625,5.1097827,53.4556122
25,0.024983,-0.439075381,0.54289186,5.163589,53.7656746
26,0.025982,-0.150240019,0.627874315,5.18579817,25.3930702
27,0.026983,0.179368854,0.722841859,5.18627119,3.04824781
28,0.027982,0.480748147,0.656789362,5.16521597,-18.5729847
29,0.028983,0.559604764,0.409446031,5.1331706,-30.6379013
30,0.029982,0.629991591,0.082734108,5.07982397,-51.026577
31,0.030983,0.641347647,-0.284034431,5.03655958,-44.0046349
32,0.031982,0.457097083,-0.561515749,4.99350691,-43.1617012
33,0.032983,0.153263718,-0.602360904,4.96099424,-33.589592
34,0.033981,-0.141117528,-0.581449151,4.9497714,-13.5016308
35,0.034983,-0.441023976,-0.455533683,4.96006536,7.8486824
36,0.035984,-0.584728062,-0.208789527,4.99188185,29.3505287
37,0.036995,-0.649267673,0.0850656703,5.04522276,50.8720398
38,0.037983,-0.646962404,0.452548593,5.08848906,43.986084
39,0.038984,-0.429695398,0.548339546,5.1420722,52.6289291
40,0.039984,-0.147859365,0.633131504,5.16427565,25.2566128
41,0.040985,0.172541052,0.719781876,5.17528105,12.5013189
42,0.041983,0.485988438,0.64529568,5.15444899,-17.4382133
43,0.042985,0.569511235,0.407731265,5.12240744,-30.5031509
44,0.043984,0.627654076,0.074734427,5.0690608,-51.0104027
45,0.044985,0.629058719,-0.279009134,5.01526403,-53.4706764
46,0.045984,0.437665552,-0.584603548,4.97199011,-44.2980309
47,0.046985,0.140530631,-0.585463226,4.93947172,-33.7274704
48,0.048194,-0.216755792,-0.561029732,4.94907522,17.3176136
49,0.048992,-0.454635054,-0.435012996,4.94907522,17.3176136
50,0.049997,-0.588977873,-0.160543501,4.97058249,21.0177536
51,0.050986,-0.648122311,0.134658828,5.02370405,49.8717537
52,0.051982,-0.625040889,0.483765423,5.07749891,53.3354568
53,0.052986,-0.383095801,0.569884479,5.12077093,44.2803307
54,0.053982,-0.0903397202,0.639902651,5.14275885,24.2558918
55,0.054986,0.254614949,0.710604846,5.14322615,2.91173792
56,0.055982,0.520313919,0.60361135,5.12216902,-18.5908375
57,0.056986,0.590491891,0.316445589,5.09012365,-30.6400452
58,0.057981,0.636640251,-0.0163423568,5.03677702,-51.0268364
59,0.058986,0.59442836,-0.383009911,4.99351072,-44.0046654
