Level,Name,Value,Location,Size,Type,Access,Scope
0,"cfg",,0x20000050,84,"struct FocControlConfig",,"test.cpp"
0,"cmd",,0x20000A98,12,"struct FocCommand",,"test.cpp::foc_test"
0,"foc",,0x200023B0,1456,"class FocControl",,"test.cpp"
 1,"<inherited members>",,0x200023B0,88,"class Configurable<wibot::motor::FocControlConfig>","public","wibot::motor::FocControl"
 1,"_cmd",,0x20002954,12,"struct FocCommand","private","wibot::motor::FocControl"
 1,"_currentController",,0x200027D4,160,"class PidWithFeedforwardCurrentController","private","wibot::motor::FocControl"
 1,"_driver","driver (0x2000238C)",0x20002408,4,"class PwmDriver*","private","wibot::motor::FocControl"
 1,"_focControl",,0x20002930,36,"class FocControlBase","private","wibot::motor::FocControl"
 1,"_modular",,0x200027B8,28,"class SvpwmModular","private","wibot::motor::FocControl"
 1,"_phaseCurrentSensor",,0x20002444,88,"class Shunt3PhaseCurrentSensor","private","wibot::motor::FocControl"
 1,"_positionController",,0x200028D0,96,"class PidPositionController","private","wibot::motor::FocControl"
 1,"_positionSpeedSensor",,0x2000249C,792,"class AbsoluteEncoderPositionSpeedSensor","private","wibot::motor::FocControl"
  2,"<inherited members>",,0x2000249C,4,"class PositionSpeedSensor","public","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"<inherited members>",,0x200024A0,36,"class Configurable<wibot::motor::AbsoluteEncoderPositionSpeedSensorConfig>","public","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
   3,"config",,0x200024A4,32,"struct AbsoluteEncoderPositionSpeedSensorConfig","private","Configurable<wibot::motor::AbsoluteEncoderPositionSpeedSensorConfig>"
   3,"Configurable<wibot::motor::AbsoluteEncoderPositionSpeedSensorConfig>::apply_config(class Configurable<wibot::motor::AbsoluteEncoderPositionSpeedSensorConfig>*)",,,4,"virtual enum Result()","private","Configurable<wibot::motor::AbsoluteEncoderPositionSpeedSensorConfig>"
  2,"_1_TS",999.999939,0x200027AC,4,"float","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
  2,"_2PI_RES",2.99605631e-06,0x200027A8,4,"float","private","wibot::motor::AbsoluteEncoderPositionSpeedSensor"
